JourneyID,CustomerID,ProductID,VisitDate,STAGE,Action,Duration
1,64,18,10/6/2024,CHECKOUT,Drop-off,132.3333333
2,94,11,9/7/2025,CHECKOUT,Drop-off,169.25
3,34,8,14-06-2024,PRODUCTPAGE,View,235
4,33,18,28-05-2025,CHECKOUT,Drop-off,12
5,91,10,11/2/2023,HOMEPAGE,Click,156
6,54,11,19-12-2025,HOMEPAGE,View,264
7,80,4,25-08-2023,HOMEPAGE,View,298
8,99,10,3/7/2025,PRODUCTPAGE,View,287
9,31,4,13-06-2025,PRODUCTPAGE,View,278
10,44,16,23-04-2025,PRODUCTPAGE,View,30
11,23,12,22-08-2023,CHECKOUT,Drop-off,95.71428571
12,97,12,28-07-2023,PRODUCTPAGE,View,227
13,83,5,20-06-2024,HOMEPAGE,View,223
14,14,13,1/11/2025,PRODUCTPAGE,View,13
15,9,1,4/11/2025,PRODUCTPAGE,View,292
16,14,16,17-07-2024,HOMEPAGE,View,46
17,67,2,11/12/2025,HOMEPAGE,View,185
18,70,15,13-10-2025,HOMEPAGE,View,191
19,9,1,15-08-2024,HOMEPAGE,View,187
20,44,18,19-02-2024,PRODUCTPAGE,View,154
21,58,20,7/3/2024,CHECKOUT,Drop-off,147.6666667
22,12,1,19-11-2025,HOMEPAGE,Click,20
23,58,1,5/7/2023,HOMEPAGE,View,48
24,77,6,25-06-2025,CHECKOUT,Drop-off,185.4
25,75,12,23-11-2023,PRODUCTPAGE,View,239
26,78,20,17-04-2024,HOMEPAGE,View,129
27,36,9,10/8/2024,HOMEPAGE,View,214
28,1,20,26-09-2025,PRODUCTPAGE,View,64
29,12,17,1/6/2025,HOMEPAGE,View,205
30,48,2,3/5/2023,PRODUCTPAGE,View,242
31,81,19,4/4/2023,HOMEPAGE,View,130
32,67,11,4/9/2023,CHECKOUT,Drop-off,126.5
33,2,5,10/8/2025,HOMEPAGE,View,26
34,55,15,26-10-2023,HOMEPAGE,View,233
35,60,19,21-06-2023,HOMEPAGE,Click,162
36,17,2,20-11-2023,CHECKOUT,Purchase,137
37,38,17,18-06-2024,CHECKOUT,Drop-off,140
38,13,18,23-02-2023,PRODUCTPAGE,View,227
39,63,18,10/8/2023,PRODUCTPAGE,View,233
40,4,12,22-12-2024,HOMEPAGE,View,110
41,92,5,23-11-2025,PRODUCTPAGE,View,124
42,95,10,28-01-2025,HOMEPAGE,View,172
43,21,8,14-03-2025,HOMEPAGE,View,40
44,29,3,29-02-2024,HOMEPAGE,View,193
45,94,6,7/6/2023,PRODUCTPAGE,View,118
46,30,19,27-10-2025,HOMEPAGE,View,210
47,30,20,18-02-2024,CHECKOUT,Drop-off,144.8333333
48,52,13,1/2/2025,HOMEPAGE,View,241
49,93,14,9/4/2023,HOMEPAGE,Click,69
50,5,9,19-04-2024,HOMEPAGE,View,44
51,65,8,29-09-2025,PRODUCTPAGE,View,272
52,15,9,7/8/2025,CHECKOUT,Drop-off,173.25
53,24,4,5/4/2024,HOMEPAGE,View,182
54,9,11,19-11-2024,CHECKOUT,Drop-off,153.75
55,1,7,17-03-2024,CHECKOUT,Drop-off,226
56,97,11,20-12-2023,HOMEPAGE,Click,234
57,52,14,2/12/2024,HOMEPAGE,View,253
58,51,20,8/3/2025,PRODUCTPAGE,View,174
59,32,8,19-08-2024,HOMEPAGE,View,238
60,19,6,17-06-2025,PRODUCTPAGE,View,190
61,69,20,12/7/2025,HOMEPAGE,Click,14
62,42,1,22-10-2024,HOMEPAGE,View,186
63,51,15,22-05-2025,HOMEPAGE,View,139
64,86,20,3/7/2023,PRODUCTPAGE,View,77
65,54,10,23-12-2023,HOMEPAGE,View,101
66,52,2,16-11-2023,HOMEPAGE,Click,242
67,25,1,21-05-2023,PRODUCTPAGE,Click,57
68,45,16,29-04-2023,PRODUCTPAGE,Click,250
69,82,19,21-02-2025,PRODUCTPAGE,Click,158
70,75,17,7/7/2023,HOMEPAGE,View,297
71,40,20,13-07-2023,CHECKOUT,Drop-off,NULL
72,47,15,23-08-2023,HOMEPAGE,Click,34
73,20,16,17-09-2024,HOMEPAGE,View,17
74,81,13,26-09-2024,HOMEPAGE,Click,291
75,93,1,1/10/2024,PRODUCTPAGE,Click,279
76,42,17,29-05-2025,CHECKOUT,Purchase,261
77,36,4,2/6/2023,HOMEPAGE,Click,100
78,46,17,15-06-2025,CHECKOUT,Purchase,122
79,75,10,13-11-2023,HOMEPAGE,View,244
80,64,6,6/4/2025,HOMEPAGE,Click,161
81,89,15,27-10-2025,CHECKOUT,Purchase,246
82,64,2,7/6/2025,HOMEPAGE,Click,261
83,54,8,18-01-2024,PRODUCTPAGE,Click,83
84,79,15,9/3/2025,CHECKOUT,Purchase,48
85,56,4,26-05-2023,HOMEPAGE,Click,166
86,83,3,6/9/2023,HOMEPAGE,View,79
87,2,2,25-09-2023,HOMEPAGE,View,277
88,15,20,18-12-2025,HOMEPAGE,View,136
89,14,9,18-04-2025,HOMEPAGE,Click,104
90,49,8,25-03-2025,HOMEPAGE,View,248
91,99,10,7/12/2023,HOMEPAGE,Click,244
