EngagementID,ContentID,ProductID,EngagementDate,ContentType,Likes,CampaignID,Views,Clicks
1,39,9,30-08-2023,BLOG,190,1,1883,671
2,48,20,28-03-2023,BLOG,114,18,5280,532
3,16,14,8/12/2023,VIDEO,32,7,1905,204
4,43,20,21-01-2025,VIDEO,17,19,2766,257
6,32,19,18-06-2023,SOCIALMEDIA,648,18,8237,1641
7,33,2,1/10/2025,SOCIALMEDIA,1,12,750,34
8,47,6,31-03-2025,BLOG,1,17,891,35
9,48,16,19-03-2024,BLOG,123,13,5571,1527
10,4,15,3/12/2023,BLOG,25,15,4279,297
11,38,6,26-05-2024,SOCIALMEDIA,29,19,4297,234
12,29,10,15-06-2023,SOCIALMEDIA,396,3,7877,2037
13,14,18,4/2/2025,VIDEO,12,12,1796,136
14,2,2,26-08-2023,SOCIALMEDIA,317,16,6837,2251
15,16,19,20-10-2025,SOCIALMEDIA,0,6,36,1
16,2,16,6/7/2023,SOCIALMEDIA,276,17,5980,1227
17,35,10,17-05-2024,BLOG,9,18,563,104
18,12,8,26-10-2024,VIDEO,0,19,321,15
20,35,6,7/10/2024,BLOG,0,4,41,7
21,26,6,28-12-2024,BLOG,7,1,1037,111
22,11,16,4/4/2024,VIDEO,357,12,5543,1288
26,31,20,4/6/2025,VIDEO,2,20,1742,71
27,42,3,27-07-2024,VIDEO,72,4,3225,337
28,29,16,22-12-2023,SOCIALMEDIA,7,2,165,48
29,15,20,2/8/2025,VIDEO,0,17,58,2
31,1,4,10/6/2025,SOCIALMEDIA,2,4,1079,44
32,37,16,4/11/2025,BLOG,0,19,441,9
33,44,7,21-06-2025,BLOG,3,1,1415,76
34,1,4,18-04-2023,SOCIALMEDIA,29,11,1223,127
35,2,15,26-07-2025,VIDEO,1,13,704,17
37,32,1,24-01-2023,VIDEO,400,7,9759,3095
39,24,11,2/9/2023,VIDEO,373,11,4881,1204
40,18,4,2/4/2024,VIDEO,215,4,3222,793
41,8,12,1/6/2024,SOCIALMEDIA,193,2,4654,1083
42,16,8,23-07-2023,BLOG,840,17,6771,2617
45,9,12,19-10-2024,BLOG,4,15,797,103
46,5,1,29-09-2024,BLOG,11,1,2549,228
47,41,12,8/6/2024,VIDEO,33,3,1145,130
48,19,8,26-01-2025,VIDEO,15,17,1648,163
50,43,14,23-06-2024,SOCIALMEDIA,11,15,1066,110
52,41,15,22-04-2025,BLOG,3,3,1617,70
53,41,15,20-09-2024,VIDEO,2,16,599,39
54,40,17,22-09-2025,BLOG,0,13,706,34
55,50,6,1/4/2025,BLOG,18,18,2387,201
56,24,5,19-12-2025,SOCIALMEDIA,1,10,922,39
57,8,20,12/1/2025,VIDEO,3,7,944,91
58,2,9,7/11/2025,VIDEO,0,17,578,11
59,37,1,17-07-2025,VIDEO,0,10,219,7
60,1,7,15-10-2025,SOCIALMEDIA,0,19,404,15
61,47,7,24-01-2024,BLOG,72,16,2847,528
62,15,10,29-05-2025,SOCIALMEDIA,2,18,1521,33
64,49,15,3/12/2025,VIDEO,0,1,111,3
65,3,12,5/10/2023,BLOG,30,14,524,94
66,28,5,12/9/2024,VIDEO,23,4,1493,141
68,33,19,20-10-2024,VIDEO,5,3,239,43
69,50,8,11/5/2024,BLOG,68,2,2935,303
70,12,11,30-04-2024,SOCIALMEDIA,10,12,228,49
71,37,14,4/3/2023,VIDEO,459,11,4368,1156
72,19,1,6/1/2023,BLOG,657,17,6991,2499
73,10,3,6/4/2025,SOCIALMEDIA,0,18,40,4
75,11,18,1/5/2024,VIDEO,12,13,565,137
76,48,3,11/3/2023,BLOG,545,14,6205,2834
77,26,18,27-08-2023,SOCIALMEDIA,143,20,1671,482
78,44,2,7/6/2025,SOCIALMEDIA,2,17,713,44
79,36,16,26-04-2023,VIDEO,397,9,3632,1500
80,15,12,4/1/2025,VIDEO,8,19,1535,243
82,49,20,26-04-2023,SOCIALMEDIA,142,8,1354,425
83,48,2,20-02-2025,VIDEO,14,9,1933,158
84,24,14,22-05-2023,SOCIALMEDIA,116,18,6319,832
85,34,20,8/5/2025,VIDEO,0,18,36,3
86,37,7,6/4/2025,BLOG,5,3,1576,45
87,8,2,27-07-2024,BLOG,111,2,3142,602
88,28,7,1/10/2023,SOCIALMEDIA,121,12,1360,440
89,21,13,27-11-2024,SOCIALMEDIA,1,2,214,15
90,35,9,25-05-2023,VIDEO,595,7,3338,1402
91,8,13,26-05-2024,BLOG,9,7,379,95
92,35,8,21-05-2025,VIDEO,3,3,516,49
93,23,17,19-02-2023,SOCIALMEDIA,147,1,2989,1283
94,33,17,18-02-2023,VIDEO,389,15,2595,933
96,17,13,15-07-2024,BLOG,32,14,712,142
97,34,7,1/7/2025,BLOG,3,16,696,47
98,44,8,20-08-2025,BLOG,0,11,231,10
99,26,4,15-04-2024,BLOG,119,17,3511,479
100,32,13,5/5/2024,VIDEO,34,15,2657,175
102,11,7,1/4/2023,BLOG,234,7,7389,927
104,25,12,24-09-2023,SOCIALMEDIA,133,11,5433,892
105,10,11,10/8/2023,BLOG,465,16,4327,1380
106,13,11,23-08-2023,SOCIALMEDIA,335,17,7793,951
107,20,12,27-01-2025,BLOG,0,6,150,4
108,48,6,26-10-2023,BLOG,56,15,2826,264
109,25,4,7/8/2024,BLOG,81,20,1998,458
110,12,4,9/6/2024,SOCIALMEDIA,75,3,1408,307
111,34,8,18-05-2025,BLOG,10,7,1942,99
113,49,14,8/2/2023,VIDEO,31,17,898,184
114,32,18,30-06-2025,SOCIALMEDIA,0,18,314,12
116,35,19,15-03-2025,VIDEO,0,1,106,7
117,23,18,24-09-2025,SOCIALMEDIA,0,12,924,32
118,39,7,4/12/2025,BLOG,0,17,191,3
119,45,15,12/7/2023,BLOG,117,11,3962,426
120,33,7,14-09-2023,VIDEO,164,1,1674,486
121,5,7,9/2/2023,VIDEO,1071,17,8641,3301
122,13,12,17-04-2024,VIDEO,63,6,5471,615
123,15,8,16-12-2025,BLOG,0,7,908,38
124,39,19,16-11-2024,BLOG,32,7,2847,274
125,44,20,22-08-2023,SOCIALMEDIA,29,12,621,199
126,34,4,27-04-2025,BLOG,19,20,2086,218
127,41,6,29-10-2023,VIDEO,19,6,989,103
129,7,1,17-08-2024,BLOG,2,5,401,30
130,5,1,5/2/2024,SOCIALMEDIA,120,11,2081,406
132,2,8,28-07-2023,SOCIALMEDIA,88,19,2773,541
133,44,6,18-04-2025,VIDEO,2,18,415,34
134,1,14,8/9/2025,SOCIALMEDIA,0,11,359,18
135,21,16,20-12-2024,SOCIALMEDIA,30,18,2949,352
136,30,8,5/7/2023,BLOG,524,16,6423,2478
137,3,9,7/11/2023,BLOG,46,9,782,239
138,19,17,2/1/2024,VIDEO,113,15,2352,425
139,48,12,20-01-2024,SOCIALMEDIA,51,11,1629,404
140,11,6,8/3/2023,VIDEO,394,6,7397,1971
141,47,16,24-01-2024,VIDEO,30,13,861,264
142,35,1,5/11/2025,VIDEO,0,6,261,5
143,34,1,22-10-2023,BLOG,273,8,3932,784
144,27,12,7/2/2025,SOCIALMEDIA,3,10,689,44
147,13,1,19-04-2025,SOCIALMEDIA,5,5,1219,74
148,3,16,10/10/2023,BLOG,97,17,3003,918
149,26,4,1/2/2023,SOCIALMEDIA,389,7,6616,805
